ra,dec,SPECOBJID,Z_SDSS_PIPELINE,objID,dered_u,dered_g,dered_r,dered_i,dered_z,run,camcol,field,CONFIDENCE,ZWARNING
133.88348,22.808556,b'   5829944457039206400',1.3456041,1.23767E+18,24.50966,21.66385,22.00168,21.57868,21.73923,5038,6,57,0.99007529,4
141.84699,25.876295,b'   6521426220621780992',1.3212267,1.23767E+18,24.53343,21.39787,21.63783,21.50667,21.06346,5038,6,109,0.983759046,4
26.149811,6.7253815,b'  13116872595923556352',3.3497114,1.23767E+18,23.21723,22.21038,21.66883,21.72462,21.36342,5065,3,48,0.938740849,4
163.88212,24.979325,b'  11785001994275805184',1.1722163,1.23767E+18,22.99611,23.15353,22.64271,22.38873,21.74256,5112,1,354,0.947159588,4
212.69884,19.941524,b'   6636307589679568896',4.979725,1.23767E+18,20.73695,20.1103,19.96561,19.76134,19.97083,5183,3,522,0.983191907,4
220.17321,20.01023,b'   6641952757237700608',1.4697474,1.23767E+18,22.25463,21.51527,21.43257,21.66114,21.13231,5224,2,426,0.971276462,4
140.11163,14.798938,b'  10787416187950356480',2.131861,1.23767E+18,27.41516,21.25347,20.6304,20.27378,19.86519,5312,4,54,0.991811395,4
149.56833,17.310292,b'   5996741466390812672',2.2324226,1.23767E+18,24.50327,21.50158,21.44014,21.39453,21.12794,5312,5,117,0.995260417,4
239.69956,15.126501,b'   2838437721750398976',2.2381814,1.23767E+18,18.37922,18.26887,18.37111,18.50167,18.7693,5323,4,76,0.943413675,4
166.93728,16.667141,b'   6037249674032994304',1.5766335,1.23767E+18,24.07549,21.47899,21.31958,21.63514,22.99717,5381,3,86,0.940725386,4
256.67106,43.601175,b'   9606413985013585920',1.5954957,1.23767E+18,23.94219,22.13799,21.74598,21.44784,21.48773,5416,1,18,0.92223084,4
6.671821,6.2714038,b'   4973352873993984000',1.7154945,1.23767E+18,24.46926,20.84824,20.92371,20.40536,22.77762,5656,1,60,0.944927931,4
155.95445,17.274986,b'   2917278471220652032',4.087568,1.23767E+18,18.88739,19.58638,20.7252,20.36232,18.17021,5935,3,262,0.971941769,4
39.886149,72.21093,b'   3201051157606721536',1.4722934,1.23767E+18,14.68886,12.78241,12.18554,14.05667,11.86334,5960,1,68,0.999234438,4
341.66322,32.991029,b'   8040231664813889536',1.9841682,1.23767E+18,21.84936,21.3066,21.23101,21.2374,21.10071,6354,5,103,0.954013705,4
71.701088,11.024773,b'   3009562955302856704',1.546941,1.23767E+18,21.56197,20.53822,19.96125,19.802,19.64901,6519,3,77,0.984398067,4
91.280014,24.036042,b'   3278738251950693376',1.1684649,1.23767E+18,20.50064,20.01705,19.2328,19.08278,18.90506,6581,5,67,0.940020323,4
2.6574376,24.270363,b'   7746255790282135552',1.567133,1.23768E+18,23.4832,21.44889,21.07725,21.03528,21.08305,7708,2,221,0.930245638,4
318.34502,1.1903572,b'   1252114274336139264',1.0356469,1.23768E+18,20.05383,20.04858,19.77259,19.92042,19.9671,7712,2,51,0.954776168,4
344.65038,1.1322616,b'  10326795036839401472',2.2911694,1.23768E+18,24.47668,21.58071,21.24069,21.09774,20.67263,7717,1,227,0.945010602,4
29.087293,1.138188,b'   8827304701399947264',1.3820457,1.23768E+18,23.81288,21.97124,21.61965,21.44178,21.45183,7717,1,524,0.951227605,4
44.0309,1.1142167,b'   1202609028677527552',1.9591118,1.23768E+18,20.26044,19.89787,19.72601,19.61793,19.57471,7717,2,623,0.958063543,4
317.22269,7.0894089,b'  12741900096343660544',1.258142,1.23768E+18,21.31813,20.88699,20.70803,20.57268,20.21626,7772,4,27,0.924684286,4
320.18594,-1.9236063,b'   4935019501475616768',1.8193914,1.23768E+18,23.93944,21.55547,21.08796,20.83104,20.99827,7778,3,51,0.941193283,4
326.91892,-1.5621399,b'  10294150805616613376',1.3216674,1.23768E+18,21.51901,21.40077,21.50072,21.4302,21.41755,7778,4,96,0.973085821,4
17.494654,10.364976,b'   5124176727904638976',1.5540113,1.23768E+18,23.83152,21.08374,20.8433,20.78702,20.30789,7784,5,311,0.960689604,4
342.1209,4.3316925,b'  12728355763212539904',1.4002017,1.23768E+18,22.69276,21.71246,21.45989,21.55584,20.74039,7807,3,30,0.974892497,4
25.661317,-4.0213793,b'   8886897961495451648',1.2561733,1.23768E+18,22.56052,21.6451,22.42311,21.94954,22.2535,7865,5,86,0.926585793,4
359.82671,-3.737485,b'   8889214363875170304',2.0539198,1.23768E+18,20.00798,19.85213,19.80598,19.65606,19.49156,7907,1,70,0.990767896,4
15.447727,-2.7783411,b'   8864290903269070848',1.2149495,1.23768E+18,23.2947,21.94772,21.81307,21.88401,22.72502,7907,3,175,0.976350725,4
355.73381,16.964835,b'   6910957901021730816',1.590878,1.23768E+18,24.30721,21.91994,21.48012,21.5439,21.85527,7912,3,129,0.973063231,4
28.781773,19.678988,b'   8586321713125677056',1.4255,1.23768E+18,24.30642,21.00549,20.71904,20.2193,21.30762,7913,6,138,0.981100559,4
353.88211,21.183502,b'   6896329998946555904',1.3203642,1.23768E+18,25.72092,21.62549,21.57683,21.24652,21.09482,7917,1,66,0.93006593,4
21.052425,22.785192,b'   8150605591959853056',1.8040111,1.23768E+18,22.27037,21.13231,20.92728,21.00815,21.56629,7917,6,234,0.922612607,4
2.7886843,20.400367,b'   6951478752913414144',1.5365444,1.23768E+18,25.64771,21.33349,21.02104,20.93733,20.97194,8096,4,245,0.922361016,4
351.45569,20.546321,b'   8561528825649059840',2.2820973,1.23768E+18,23.25265,21.45807,21.3755,21.90348,22.70403,8096,6,175,0.995435536,4
16.1806,28.967782,b'   7043885559744583680',1.3738186,1.23768E+18,26.09389,21.72713,21.35564,21.10915,21.06731,8105,2,50,0.932319164,4
355.02901,32.269854,b'   8737087866264639488',2.0530536,1.23768E+18,21.75517,21.76996,21.7217,21.55603,23.15648,8111,4,52,0.949216545,4
15.171732,32.514176,b'   8694373494581123072',1.0218729,1.23768E+18,21.69851,21.35732,21.50422,21.96652,21.35207,8111,5,165,0.974248052,4
328.92159,27.298675,b'   8607624211878664192',1.605241,1.23768E+18,20.76158,20.65276,20.52383,20.18653,21.47601,8115,4,67,0.940650582,4
325.79305,26.800379,b'   8603152218747852800',3.2106464,1.23768E+18,21.71155,21.56739,21.32066,20.96349,21.17042,8115,5,48,0.956664145,4
340.59945,28.242021,b'   8615469227443509248',1.2330506,1.23768E+18,23.78598,21.99748,21.72431,21.67669,21.77479,8116,5,117,0.950304449,4
347.37547,30.35442,b'   7325378682440407040',1.2727777,1.23768E+18,23.81113,21.42492,21.42491,21.2681,21.32996,8149,1,181,0.924132347,4
337.28723,28.965458,b'   8614424142899599360',1.2546862,1.23768E+18,23.35554,22.00338,21.63281,21.90337,21.76368,8149,2,122,0.95113343,4
345.63915,31.37673,b'   7322979547665946624',1.7317965,1.23768E+18,23.55484,21.3969,21.11065,21.4815,22.61912,8149,4,172,0.947034299,4
