specObjId,ra,dec,run,camcol,field,z,zErr,interval,objID,class,clean,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,SDSS16,Z,u_extinction,g_extinction,r_extinction,i_extinction,z_extinction,u,g,r,i,label,u-g,g-r,r-i,i-z
4.296458871973894e+18,135.51604,0.99077888,6749,5,129,19.21656676523236,8.428796e-05,"(3.0, 3.25]",1237651752917139668,6,False,23.175,19.53,19.259,19.357,19.259,0.642,0.014,0.015,0.02,0.067,SDSS J090203.84+005926.8,3.229791,0.2125708881606961,0.166447271505099,0.113548774455006,0.0842179746230029,0.0624332347676369,22.922429111839303,19.363552728494906,19.145451225545,19.272782025377,0,3.5588763833443977,0.2181015029499065,-0.12733079983200213,0.056215260144639956
1.2116096358956667e+18,28.043131,1.2080322,7717,1,517,20.8878458850288,0.0002825428,"(3.0, 3.25]",1237645879568171772,6,False,22.732,20.632,20.438,20.538,20.904,0.373,0.027,0.034,0.062,0.324,SDSS J015210.35+011228.9,3.161584,0.1230964943382331,0.0963870254846597,0.0657543287924143,0.0487693189131377,0.0361541149712004,22.56890350566177,20.53561297451534,20.372245671207583,20.489230681086863,0,2.0332905311464273,0.1633673033077585,-0.11698500987927929,-0.3986152039419366
5.354828979684792e+18,192.4796,1.5684063,6121,1,173,19.664956868903413,0.0003536533,"(3.0, 3.25]",1237671762639782216,6,True,21.413,20.117,19.818,19.719,19.679,0.112,0.018,0.019,0.023,0.076,SDSS J124955.10+013406.2,3.219796,0.1159090769508368,0.0907591334263829,0.0619150333794955,0.0459217524360241,0.0340431310965831,21.25709092304917,20.02624086657362,19.756084966620502,19.67307824756398,0,1.2308500564755498,0.2701558999531173,0.08300671905652379,0.00812137866056517
8.826048782515067e+18,26.6023,1.6235341,7717,2,507,21.518047989236443,0.0009726172,"(3.0, 3.25]",1237678617966346803,6,True,25.187,22.077,22.097,21.982,21.533,0.695,0.069,0.102,0.13,0.286,SDSS J014624.55+013724.7,3.217441,0.1190036043889691,0.0931822105143678,0.0635680339439551,0.0471477661931751,0.0349520107635569,25.02799639561104,21.983817789485634,22.03343196605605,21.934852233806826,0,3.0441786061254064,-0.049614176570415225,0.0985797322492239,0.41680424457038256
1.0313452732091226e+19,317.8851,1.8968716,7717,4,48,20.91653947041608,0.0003484726,"(3.0, 3.25]",1237678619010008652,6,True,22.846,21.795,21.487,21.501,21.082,0.324,0.05,0.051,0.073,0.218,SDSS J211132.42+015348.7,3.165739,0.6314506951166987,0.4944385668310246,0.3373013735778333,0.2501730085298125,0.1854605295839269,22.174549304883303,21.300561433168976,21.149698626422165,21.250826991470188,0,0.873987871714327,0.15086280674681163,-0.10112836504802303,0.3342875210541081
5.790735315624024e+18,322.32706,1.9126195,7717,4,78,19.93362041299184,0.000486932,"(3.0, 3.25]",1237678619011973888,6,True,21.949,20.37,20.103,19.96,19.997,0.155,0.019,0.02,0.022,0.088,SDSS J212918.49+015445.4,3.032801,0.2838884278663774,0.2222903363630368,0.1516443918784253,0.1124731077744793,0.0833795870081614,21.625111572133623,20.147709663636963,19.951355608121577,19.84752689222552,0,1.4774019084966596,0.19635405551538554,0.10382871589605713,-0.08609352076631893
4.511672880871004e+18,197.54595,2.076126,1462,3,482,21.06209831383713,0.0003108901,"(3.0, 3.25]",1237651753481142760,6,True,23.046,21.18,20.776,20.921,21.073,0.524,0.047,0.044,0.075,0.366,SDSS J131011.02+020434.0,3.137029,0.1052131752864041,0.0823840277675788,0.0562016144998158,0.0416841675873201,0.0309016861628711,22.900786824713595,21.097615972232425,20.719798385500184,20.87931583241268,0,1.8031708524811698,0.37781758673224175,-0.1595174469124956,-0.18278248142445008
4.29998556001628e+18,136.38202,2.4004372,2126,1,115,19.568011145346663,0.0003105281,"(3.0, 3.25]",1237654604241633817,6,True,24.919,20.737,19.979,19.707,19.605,0.816,0.029,0.021,0.022,0.065,SDSS J090531.68+022401.5,3.113821,0.1940340188043625,0.1519325307835202,0.1036469538630298,0.0768738946948922,0.0569888546533378,24.68496598119564,20.58506746921648,19.87535304613697,19.63012610530511,0,4.099898511979159,0.7097144230795109,0.24522694083185925,0.06211495995844629
5.353676691985422e+18,191.5734,2.8300748,6005,4,182,20.14247149285361,0.0003914763,"(3.0, 3.25]",1237671266034779167,6,True,23.006,20.745,20.453,20.497,20.164,0.334,0.025,0.026,0.036,0.104,SDSS J124617.61+024948.2,3.238981,0.1413950707656118,0.110715178060577,0.0755288606936471,0.0560189901100378,0.0415285071463907,22.82460492923439,20.634284821939424,20.37747113930635,20.440981009889963,0,2.1903201072949656,0.2568136826330729,-0.06350987058361213,0.2985095170363543
4.5477401661824266e+18,207.06485,2.8774699,6782,2,14,21.330175509740982,0.0005363975,"(3.0, 3.25]",1237664813915701853,6,False,22.51,21.807,21.644,21.809,21.352,0.373,0.078,0.099,0.162,0.381,SDSS J134815.56+025238.9,3.179997,0.1424028255834762,0.1115042703075494,0.0760671720565518,0.0564182501893999,0.0418244902590189,22.327597174416525,21.69549572969245,21.567932827943448,21.7525817498106,0,0.6321014447240749,0.12756290174900187,-0.18464892186715076,0.42240624006961625
3.496062228208132e+18,8.6838999,-9.9184704,1729,4,140,19.82234718064192,0.0002160575,"(2.749, 3.0]",1237652900751868188,6,True,21.945,20.367,20.3,20.161,19.848,0.265,0.026,0.036,0.052,0.158,SDSS J003444.13-095506.5,2.810227,0.1554374107653668,0.1217106120954539,0.0830298431247283,0.0615823927188321,0.0456528193580841,21.749562589234635,20.245289387904545,20.21697015687528,20.09941760728117,0,1.50427320133009,0.028319231029264813,0.11755254959411232,0.2770704266392485
