ra,dec,objID,run,rerun,camcol,field,name,z
156.757440550344,37.7278425061996,1237664670046618582,4469,301,6,302,J102701.79+374340.2,4.9
157.055933416176,38.1553466302158,1237661382239715613,3704,301,2,158,J102813.43+380919.2,5.37
157.118762875944,11.3189925403148,1237661950242652695,3836,301,4,59,J102828.51+111908.4,5.12
157.62974486636,-2.51235722636448,1237654897386389946,2194,301,3,317,J103031.14-023044.4,4.92
157.952054167021,4.61497444333368,1237654601566847818,2125,301,4,261,J103148.50+043653.8,4.96
159.196662672242,8.29288835758715,1237658491733476153,3031,301,2,261,J103647.20+081734.3,5.05
160.056073856823,4.99776189347923,1237654602104636498,2125,301,5,275,J104013.46+045951.9,5.39
160.451623174128,6.78929918448068,1237658423554016047,3015,301,3,309,J104148.39+064721.5,4.87
160.455351088172,15.3525522445765,1237668494701560775,5360,301,2,97,J104149.29+152109.3,5.42
160.744851008098,0.278869141786506,1237648721759175623,756,301,4,300,J104258.75+001643.8,4.99
162.44158057644,10.3963660205571,1237671932819014502,6160,301,6,38,J104945.98+102346.9,5.0
164.163415493367,5.61738622549335,1237654602643342078,2125,301,6,303,J105639.21+053702.5,5.19
165.112152635296,48.8247844175643,1237657874874303067,2887,301,5,345,J110026.94+484929.1,5.2
166.471522827378,0.992838066188024,1237651836669067836,1481,301,6,69,J110553.17+005934.1,5.12
167.022824117953,4.57959472279958,1237654605328745032,2126,301,3,319,J110805.48+043446.5,5.16
167.052608935515,15.3564734433,1237661070866252784,3631,301,6,336,J110812.62+152123.2,4.95
167.798870905854,5.60715738000768,1237654606402880346,2126,301,5,325,J111111.72+053625.7,5.24
167.931663519256,-1.628816253156,1237650371550380904,1140,301,5,100,J111143.59-013743.8,5.24
168.757371571528,51.6178387176464,1237657857143735095,2883,301,4,134,J111501.77+513704.0,5.14
168.9410087108,-0.406704083222716,1237661039172780508,3624,301,3,60,J111545.83-002424.2,4.94
169.662918430612,3.72385679080794,1237655123929006826,2247,301,1,59,J111839.10+034326.0,4.88
171.525813035888,37.5608001498622,1237664819820364879,4504,301,5,100,J112606.18+373338.9,4.87
172.244588843402,-5.8460768034095,1237671142014780807,5976,301,5,139,J112858.70-055045.8,5.53
172.264748867916,2.61857656846461,1237651754006938452,1462,301,4,313,J112903.54+023706.9,5.04
172.301844006135,-0.171731465186321,1237648721227351177,756,301,3,377,J112912.44-001018.3,4.89
173.307851626287,39.8938194881132,1237662225674208486,3900,301,5,315,J113313.88+395337.7,4.75
175.212928161308,31.487764241047,1237665367972905787,4632,301,2,212,J114051.10+312915.9,5.07
175.484212163494,7.05557624898756,1237661971181405203,3841,301,3,71,J114156.21+070320.0,4.97
176.054515369956,40.1837538493191,1237662225675125674,3900,301,5,329,J114413.09+401101.5,5.01
176.097258894359,0.188268203547416,1237671141481055623,5976,301,4,187,J114423.35+001117.7,4.98
176.137202950115,-3.42510949731406,1237650369406501000,1140,301,1,155,J114432.93-032530.4,5.54
179.170512984609,35.924678966378,1237665026513634352,4552,301,6,69,J115640.93+355528.8,4.88
179.90342009292,6.05155853681056,1237671140947263600,5976,301,3,234,J115936.82+060305.7,5.77
180.131364150728,45.075261154083,1237661872938943419,3818,301,4,146,J120031.52+450430.9,4.8
182.376829301187,-3.51698536377217,1237650369409254261,1140,301,1,197,J120930.44-033101.3,4.98
182.75729579226,16.188679526892,1237664292074946710,4381,301,6,80,J121101.75+161119.2,5.14
183.334223865381,36.8286655427694,1237664337181541190,4392,301,2,224,J121320.21+364943.2,4.86
183.990619183046,-1.1276823815352,1237654668676694628,2141,301,1,276,J121557.76-010739.7,5.09
184.101220687734,-2.54341474551827,1237650370483716971,1140,301,3,208,J121624.30-023236.3,5.28
185.11560261531,6.71715660367378,1237661970648728534,3841,301,2,135,J122027.74+064301.8,5.37
185.454682978073,15.9644856264061,1237662526839784246,3970,301,6,25,J122149.13+155752.1,4.75
187.029185909895,1.2046320335407,1237648675581001762,745,301,6,189,J122807.00+011216.6,5.13
187.13452184337,34.3929269265214,1237665024368968743,4552,301,2,112,J122832.28+342334.5,4.82
187.611454941258,41.4778878907511,1237662193453630052,3893,301,1,188,J123026.75+412840.3,6.27
187.930468976791,-1.84139343241837,1237650371559162494,1140,301,5,234,J123143.31-015029.1,4.89
188.316637478931,-3.00519863198244,1237650369948680790,1140,301,2,236,J123315.99-030018.7,4.78
188.805344262361,33.1589340895164,1237665227843699353,4599,301,5,122,J123513.28+330931.9,4.9
189.833253927666,34.858530817525,1237665024906822242,4552,301,3,127,J123919.99+345130.7,4.97
191.444372677178,35.9134835863721,1237665026517959559,4552,301,6,135,J124546.66+355448.5,5.15
191.457670626934,32.8050004703008,1237665330928484813,4623,301,5,207,J124549.86+324818.1,4.97
191.589257149479,-5.30139928841942,1237671265494369889,6005,301,3,128,J124621.42-051804.9,4.87
191.712896236695,-0.542504572585795,1237648720699000093,756,301,2,507,J124651.09-003233.0,4.63
193.029645606232,3.14680109049503,1237651737373246374,1458,301,5,455,J125207.11+030848.4,4.96
193.390938814478,32.868762913735,1237665227845403583,4599,301,5,148,J125333.82+325207.4,5.02
194.799935773819,-0.136499034277982,1237648673973797794,745,301,3,241,J125911.99-000811.4,5.07
196.93001095775,44.450394279459,1237661872944186214,3818,301,4,226,J130743.20+442701.4,5.0
198.155502030124,26.5720766790686,1237667322725270598,5087,301,3,294,J131237.33+263419.5,5.39
198.988430805064,-2.0326959448607,1237650371027141526,1140,301,4,308,J131557.22-020157.6,4.88
199.382784308239,3.24239889568724,1237651737376064523,1458,301,5,498,J131731.87+031432.6,4.76
201.359806323047,1.51153466998657,1237651735229432614,1458,301,1,511,J132526.35+013041.5,4.77
206.048098411891,44.7816180056335,1237661360762389090,3699,301,2,120,J134411.54+444653.5,4.93
206.657601668819,32.3552407003689,1237665127478133864,4576,301,2,569,J134637.83+322118.9,4.7
207.458287503776,2.76043760534321,1237651754559209738,1462,301,5,548,J134949.98+024537.6,5.05
208.479246031632,49.8500776370272,1237661958296699897,3838,301,3,74,J135355.02+495100.2,5.03
211.311178992569,41.4225780936753,1237661850404192918,3813,301,2,357,J140514.70+412521.4,5.17
211.728360145233,43.6738284427024,1237661433779782729,3716,301,2,165,J140654.81+434025.8,5.05
211.732845378977,34.5771522859304,1237664673258668424,4470,301,4,162,J140655.88+343437.8,4.89
212.852212534819,7.30225479626788,1237659348032094488,3230,301,5,101,J141124.53+071808.0,5.38
215.790192614738,-3.00620549631355,1237655497596011483,2334,301,1,133,J142309.65-030022.3,4.79
216.162780510502,26.7360599041917,1237665442597831447,4649,301,5,210,J142439.05+264410.0,4.93
220.390194350675,1.69126064185483,1237651753491104785,1462,301,3,634,J144133.65+014128.6,4.87
221.688789202306,36.8248493881596,1237662307265676619,3919,301,5,118,J144645.31+364929.4,4.83
221.867833446032,37.1848238976884,1237662307802546918,3919,301,6,118,J144728.28+371105.1,4.87
221.891490901114,9.01140260885854,1237658493908026241,3031,301,6,674,J144733.96+090041.0,4.78
223.236213667257,14.3884989912928,1237668350286954539,5326,301,5,153,J145256.69+142318.6,5.02
223.630070159273,-2.31087865324338,1237655691940856934,2379,301,3,96,J145431.22-021839.0,4.96
223.747061287535,11.1577306435267,1237662528996574294,3971,301,2,167,J145459.31+110927.9,4.93
224.443667167912,-1.43112370494154,1237655693014992048,2379,301,5,102,J145746.48-012551.9,5.06
225.678078536125,36.2803466865481,1237662619181974388,3992,301,2,31,J150242.74+361649.3,4.97
226.404143087531,5.87701178872264,1237662268073378982,3910,301,4,107,J150536.99+055237.2,4.9
227.677410388394,12.4917840317931,1237668331494376140,5322,301,2,121,J151042.58+122930.3,4.9
228.804097681354,16.4068851706324,1237667782316065964,5194,301,3,741,J151512.98+162424.8,4.92
229.529235445409,15.7483526378085,1237667781779588259,5194,301,2,747,J151807.02+154454.2,5.17
230.436756941292,32.0412300295452,1237662194005902468,3893,301,2,423,J152144.82+320228.4,5.42
230.924253258378,20.8205077795805,1237665550506918451,4674,301,6,180,J152341.82+204913.8,5.16
232.472387622239,37.3827615517762,1237661465447891778,3723,301,5,54,J152953.38+372258.0,4.95
233.412224754497,39.536170963724,1237662475299914577,3958,301,6,21,J153338.93+393210.3,4.89
233.471709570737,2.51343276569752,1237651821643301004,1478,301,2,170,J153353.22+023048.3,5.11
233.471853586827,22.7884700940427,1237665536001770476,4671,301,3,33,J153353.25+224718.4,5.35
233.532844004461,38.7942893693607,1237662474763240466,3958,301,5,24,J153407.88+384739.4,5.31
234.501386174571,33.8392919846489,1237662335179293333,3926,301,1,62,J153800.34+335021.4,4.87
234.51034167555,11.9336971443266,1237668332571002136,5322,301,4,165,J153802.48+115601.2,5.1
235.023623033865,1.64586835821735,1237655469138642401,2327,301,4,84,J154005.67+013845.0,5.0
237.331871670054,31.5117480712415,1237662581606056939,3983,301,4,108,J154919.65+313042.3,4.86
237.537133621605,2.98471179825613,1237654880210059638,2190,301,3,371,J155008.91+025905.1,5.13
237.581841191629,14.3665545166263,1237668366923662561,5330,301,4,57,J155019.65+142159.6,4.85
237.735871709976,30.0648976499353,1237662640119284523,3997,301,1,21,J155056.61+300353.6,4.78
238.03947444125,-0.386545125681444,1237655500290130705,2334,301,6,282,J155209.47-002311.6,5.56
239.873096617424,3.74101676707499,1237651823793538084,1478,301,6,212,J155929.54+034427.7,4.78
240.557745374272,35.0586406945241,1237662300834497684,3918,301,1,290,J160213.88+350330.9,6.11
241.349620624459,33.0834593557014,1237662473693234369,3958,301,3,81,J160523.91+330500.3,5.43
242.27660480102,5.63463622398163,1237662197753185883,3894,301,1,258,J160906.39+053804.6,4.81
242.321482999715,33.9251891575232,1237662475303847206,3958,301,6,81,J160917.15+335530.6,4.9
242.827248811727,6.53983681493371,1237662239102141716,3903,301,6,409,J161118.55+063223.5,4.9
243.7162627657,5.97263687429762,1237661949206332058,3836,301,2,630,J161451.90+055821.4,4.92
244.362953835727,14.7741553775114,1237665531725088448,4670,301,3,312,J161727.11+144627.0,4.86
244.991763916677,18.3445516872237,1237671691764958409,6104,301,5,53,J161958.02+182040.3,4.85
244.99954841261,37.3395515658337,1237661386543006896,3705,301,2,285,J161959.88+372022.3,4.79
245.369420442407,11.5570436117975,1237668366390330948,5330,301,3,111,J162128.66+113325.4,5.05
246.443710937592,8.19082865137627,1237668349223503246,5326,301,3,310,J162546.50+081126.9,4.92
246.476053725936,28.0785783888622,1237662472622375145,3958,301,1,125,J162554.25+280442.9,5.06
246.977683111028,10.4608483978152,1237668365854246387,5330,301,2,123,J162754.64+102739.0,5.22
248.517947709404,8.86640990979022,1237668310559622871,5317,301,3,170,J163404.31+085159.1,4.98
248.891043881435,42.9064411257829,1237654639684355444,2134,301,3,256,J163533.85+425423.0,5.23
248.968254064842,33.0965328658854,1237661386008495679,3705,301,1,321,J163552.38+330547.5,5.16
249.662001112414,39.8905674541736,1237655374647591866,2305,301,4,57,J163838.87+395326.0,5.34
250.255942187463,33.6462090165676,1237661387619239417,3705,301,4,323,J164101.43+333846.2,5.09
250.808336808383,0.18364660653679,1237655550745184244,2346,301,4,117,J164314.00+001101.1,5.34
251.320434674428,26.562484520525,1237662504836465355,3965,301,5,153,J164516.91+263344.9,4.82
252.231859059551,34.1186044993743,1237659330318304099,3226,301,4,146,J164855.64+340707.0,4.88
253.677553534513,29.9288021149098,1237659162818184904,3187,301,4,201,J165442.62+295543.6,5.05
253.978593960582,43.1647007366704,1237671937113982000,6161,301,6,38,J165554.86+430952.8,4.87
255.402747931279,37.2080738574919,1237651252057146875,1345,301,5,687,J170136.65+371229.0,5.16
256.243776122702,33.9232391734349,1237655129307612632,2248,301,3,210,J170458.51+335523.6,4.75
258.464618918225,35.0002914105664,1237671936044107011,6161,301,4,97,J171351.51+350001.2,5.28
258.546007099946,40.8381436975888,1237668352962986479,5327,301,2,26,J171411.04+405017.4,4.88
259.231107482853,22.337207468028,1237661386551527430,3705,301,2,415,J171655.47+222013.8,4.98
261.375081212254,59.5776082106191,1237651311072052066,1359,301,3,63,J172530.01+593439.2,4.73
262.815863056307,30.8945708558035,1237665582189577762,4682,301,1,291,J173115.81+305340.5,5.05
264.805166514299,44.7509409400682,1237668736827655795,5416,301,5,56,J173913.23+444503.3,4.86
264.843618239789,52.2222802263502,1237651311075394467,1359,301,3,114,J173922.47+521320.4,4.8
267.236248884774,50.576882478553,1237656531070682149,2574,301,6,105,J174856.70+503436.8,4.92
269.09399834079,63.8109905334093,1237671767470900371,6122,301,2,162,J175622.57+634839.5,5.84
269.802754518617,46.358665454615,1237655748321346775,2392,301,4,234,J175912.62+462131.3,4.67
310.764668922185,-5.91459162233601,1237652599560536655,1659,301,3,37,J204303.51-055452.5,5.17
316.938496983998,5.40480552647787,1237669698364770160,5640,301,4,76,J210745.24+052417.3,4.85
324.126961712903,6.55687664231051,1237678723164931186,7741,301,6,78,J213630.47+063324.7,5.23
326.230678769861,-8.06806694060878,1237656538045219843,2576,301,3,32,J214455.36-080405.0,5.2
326.950043841149,-1.11183248872282,1237656567044638112,2583,301,1,160,J214748.01-010642.6,5.0
327.305757985809,-7.28661786659112,1237652600641552401,1659,301,5,148,J214913.38-071711.8,4.73
328.997650064469,25.9739421345694,1237680326797427399,8115,301,1,64,J215559.44+255825.9,4.83
329.644078043212,-7.965919389291,1237666210347811089,4828,301,3,585,J215834.58-075757.3,5.45
333.093174818505,24.4495485208046,1237680303175303596,8109,301,5,67,J221222.35+242658.4,4.9
